gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000117450.15,PRDX1,-3.0277913255062114,9.373253640594235,-28.040640418779777,4.9913789317967225e-23,8.57369159114723e-19,40.33949754660651
ENSG00000099994.11,SUSD2,3.8056489050808504,5.052172481496366,24.507483214282303,2.3780270768570066e-21,2.04236855495864e-17,35.18253801531782
ENSG00000164209.17,SLC25A46,4.661566206594412,5.067495378763401,22.23923878861269,3.747448847617994e-20,2.145664295184476e-16,29.759684222296407
ENSG00000136144.12,RCBTB1,3.5326695767439067,3.299063232043047,21.754206186168133,6.98120352370885e-20,2.997903323168673e-16,28.074704508279453
ENSG00000103489.12,XYLT1,1.28305474208137,4.970529170233046,11.64755303665672,1.2259615738576341e-12,4.211668390830516e-9,18.601355647268676
ENSG00000174442.12,ZWILCH,1.5106342569974622,6.203839280240349,11.170390642693183,3.905502965368742e-12,9.622089700000302e-9,17.678442441940664
ENSG00000150510.17,FAM124A,5.037119683013433,0.6838044087780083,11.103637660822178,3.948719393562184e-12,9.622089700000302e-9,7.05574589194661
ENSG00000143878.10,RHOB,-0.8355862946362277,6.03868186181241,-11.045778157609147,4.481383105315387e-12,9.622089700000302e-9,17.582588385065282
ENSG00000163453.11,IGFBP7,0.890491481733957,6.593884417150569,10.1308798119362,3.50411917715287e-11,6.687806122883873e-8,15.577264187148158
ENSG00000275342.6,PRAG1,0.7887468277215406,6.566576357528397,10.0516498885884,4.2082800731108896e-11,7.228562681582575e-8,15.402883999059153
ENSG00000133636.11,NTS,-1.157930351289251,2.28826929984474,-9.40492039961242,1.9342335421189855e-10,3.020393595725256e-7,13.799108258682535
ENSG00000213963.7,LOC100130691,1.3518591823029131,2.282301458936885,9.18368147867419,3.300464016018389e-10,4.518594658126059e-7,12.828236916587532
ENSG00000123610.5,TNFAIP6,1.4558174712334626,3.7844301392343236,9.169070596654723,3.4197898675926393e-10,4.518594658126059e-7,12.724973717981243
ENSG00000018510.18,AGPS,0.799025058618479,7.460444847747973,9.12539237897317,3.803491544042186e-10,4.66661244657233e-7,13.24842012050059
